"delegacia_id";"delegacia";"X01";"X02";"X03";"X04";"X05";"X06";"X07";"X08";"X09";"X10";"X11";"X12";"X13";"X14";"X15";"X16"
1075;"033 DP - Pirituba";8;18;1021;672;0;11;6;0;3;10;143;302;0;970;381;9
1076;"032 DP - Itaquera";10;16;1283;416;0;6;5;0;0;17;159;251;0;128;308;6
1077;"031 DP - Vila Carrão";1;11;548;338;0;1;0;0;0;1;69;123;0;427;74;3
1078;"030 DP - Tatuapé";6;6;2442;1062;0;3;3;0;0;23;178;264;0;944;190;1
1143;"003 DP - Campos Elísios";10;4;10834;134;0;5;7;0;0;10;134;350;0;4105;17;10
1145;"029 DP - Vila Diva";3;3;706;671;0;1;1;0;0;2;72;154;0;539;180;1
1146;"028 DP - Freguesia do Ó";9;10;1431;354;0;5;9;0;2;6;223;200;1;1169;452;9
1147;"027 DP - Campo Belo";9;9;2016;294;0;6;1;1;0;27;225;230;0;920;303;7
1148;"026 DP - Sacomã";4;11;653;174;0;2;2;0;0;3;66;255;0;785;314;3
1149;"025 DP - Parelheiros";19;42;1147;176;1;0;31;0;1;3;170;467;0;1081;212;14
1150;"024 DP - Ponte Rasa";19;26;1493;713;0;9;5;0;0;10;166;431;0;1303;277;6
1151;"023 DP - Perdizes";12;15;6474;969;1;2;4;1;0;11;188;329;0;1902;141;4
1152;"022 DP - São Miguel Paulista";12;17;1991;376;0;8;5;0;0;87;118;207;0;147;343;6
1153;"021 DP - Vila Matilde";5;12;1489;709;0;5;2;0;0;6;158;276;0;1133;230;1
1154;"020 DP - Água Fria";10;26;1467;624;0;3;12;1;0;9;249;413;0;878;256;3
1246;"002 DP - Bom Retiro";5;6;2994;70;0;1;7;0;0;14;90;139;0;1023;29;7
1252;"019 DP - Vila Maria";2;13;943;404;0;7;2;0;0;10;90;178;0;582;86;2
1253;"018 DP - Alto da Moóca";3;3;716;159;1;2;0;0;1;45;52;28;0;233;39;0
1254;"017 DP - Ipiranga";4;4;1595;841;0;4;5;0;1;11;126;189;0;1183;448;3
1255;"016 DP - Vila Clementino";9;10;3198;867;0;2;2;0;2;18;141;249;0;1306;276;3
1256;"015 DP - Itaim Bibi";7;4;4489;318;0;5;2;0;0;11;200;204;0;1185;56;3
1257;"014 DP - Pinheiros";8;12;8486;105;1;2;3;0;1;17;196;325;0;2131;127;3
1259;"013 DP - Casa Verde";10;8;2591;585;2;7;7;0;0;32;218;318;0;1505;231;8
1262;"012 DP - Pari";12;7;7145;335;0;2;7;0;1;23;180;322;0;184;77;4
1265;"011 DP - Santo Amaro";17;10;4066;834;0;4;5;0;0;12;286;314;0;2428;224;9
1267;"103 DP - Cohab Itaquera";2;32;847;273;0;1;4;0;0;9;105;286;1;1033;282;9
1268;"102 DP - Socorro";4;3;891;128;0;2;3;0;0;0;115;106;0;661;110;4
1269;"101 DP - Jardim das Imbuias";15;41;1732;350;0;8;15;0;4;25;205;554;0;2418;308;27
1270;"100 DP - Jardim Herculano";15;34;1289;183;0;9;22;0;2;3;119;507;0;2873;386;16
1275;"010 DP - Penha de França";9;20;2015;822;0;12;4;0;0;13;216;396;0;1378;295;5
1410;"001 DP - Sé";18;11;12352;131;2;2;15;0;1;15;134;396;0;3421;46;14
