"";"delegacia_id";"delegacia";"X01";"X02";"X03";"X04";"X05";"X06";"X07";"X08";"X09";"X10";"X11";"X12";"X13";"X14";"X15";"grupos.ward"
"58";1070;"038 DP - Vila Amália";7;30;1,405;384;1;2;2;165;330;1,211;15;191;4;8;3;3
"59";1071;"037 DP - Campo Limpo";11;42;2,222;485;2;3;4;289;564;3,128;127;612;11;16;23;5
"60";1072;"036 DP - Vila Mariana";7;4;3,468;408;1;0;31;121;89;959;11;42;1;2;1;1
"61";1073;"035 DP - Jabaquara";9;15;1,942;318;0;2;22;284;465;1,619;8;752;11;4;2;3
"62";1074;"034 DP - Vila Sonia";10;11;1,998;297;2;4;6;302;217;1,546;21;286;6;6;4;3
"63";1075;"033 DP - Pirituba";8;18;1,021;672;0;3;10;143;302;970;92;381;9;11;6;1
"64";1076;"032 DP - Itaquera";10;16;1,283;416;0;0;17;159;251;1,28;19;308;6;6;5;3
"65";1077;"031 DP - Vila Carrão";1;11;548;338;0;0;1;69;123;427;14;74;3;1;0;4
"66";1078;"030 DP - Tatuapé";6;6;2,442;1,062;0;0;23;178;264;944;23;190;1;3;3;1
"67";1143;"003 DP - Campos Elísios";10;4;10,834;134;0;0;10;134;350;4,105;24;17;10;5;7;3
"68";1145;"029 DP - Vila Diva";3;3;706;671;0;0;2;72;154;539;11;180;1;1;1;4
"69";1146;"028 DP - Freguesia do Ó";9;10;1,431;354;0;2;6;223;200;1,169;64;452;9;5;10;3
"70";1147;"027 DP - Campo Belo";9;9;2,016;294;0;0;27;225;230;920;23;303;7;7;1;1
"71";1148;"026 DP - Sacomã";4;11;653;174;0;0;3;66;255;785;13;314;3;2;2;4
"72";1149;"025 DP - Parelheiros";19;42;1,147;176;1;1;3;170;467;1,081;18;212;14;0;31;2
"73";1150;"024 DP - Ponte Rasa";19;26;1,493;713;0;0;10;166;431;1,303;30;277;6;9;5;3
"74";1151;"023 DP - Perdizes";12;15;6,474;969;1;0;11;188;329;1,902;31;141;4;3;4;3
"75";1152;"022 DP - São Miguel Paulista";12;17;1,991;376;0;0;87;118;207;1,47;26;343;6;8;5;3
"76";1153;"021 DP - Vila Matilde";5;12;1,489;709;0;0;6;158;276;1,133;28;230;1;5;2;3
"77";1154;"020 DP - Água Fria";10;26;1,467;624;0;0;9;249;413;878;17;256;3;4;12;1
"78";1246;"002 DP - Bom Retiro";5;6;2,994;70;0;0;14;90;139;1,023;20;29;7;1;7;3
"79";1252;"019 DP - Vila Maria";2;13;943;404;0;0;10;90;178;582;57;86;2;7;2;4
"80";1253;"018 DP - Alto da Moóca";3;3;716;159;1;1;45;52;28;233;14;39;0;2;0;4
"81";1254;"017 DP - Ipiranga";4;4;1,595;841;0;1;11;126;189;1,183;50;448;3;4;5;3
"82";1255;"016 DP - Vila Clementino";9;10;3,198;867;0;2;18;141;249;1,306;15;276;3;2;2;3
"83";1256;"015 DP - Itaim Bibi";7;4;4,489;318;0;0;11;200;204;1,185;7;56;3;5;2;3
"84";1257;"014 DP - Pinheiros";8;12;8,486;1,05;1;1;17;196;325;2,131;16;127;3;2;3;3
"85";1259;"013 DP - Casa Verde";10;8;2,591;585;2;0;32;218;318;1,505;31;231;8;7;7;3
"86";1262;"012 DP - Pari";12;7;7,145;335;0;1;23;180;322;1,84;140;77;4;2;7;3
"87";1265;"011 DP - Santo Amaro";17;10;4,066;834;0;0;12;286;314;2,428;21;224;9;4;5;3
"88";1267;"103 DP - Cohab Itaquera";2;32;847;273;0;0;9;105;286;1,033;20;282;9;1;5;4
"89";1268;"102 DP - Socorro";4;3;891;128;0;0;0;115;106;661;7;110;4;2;3;4
"90";1269;"101 DP - Jardim das Imbuias";15;41;1,732;350;0;4;25;205;554;2,418;132;308;27;8;15;5
"91";1270;"100 DP - Jardim Herculano";15;34;1,289;183;0;2;3;119;507;2,873;104;386;16;9;22;2
"92";1275;"010 DP - Penha de França";9;20;2,015;822;0;0;13;216;396;1,378;52;295;5;12;4;3
"93";1410;"001 DP - Sé";18;11;12,352;131;2;1;15;134;396;3,421;136;46;14;2;15;2
