"";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"X18";"X19";"X20";"X21";"X22";"X23"
"X1";1;0,712905175619117;-0,143925802210672;0,485738444842442;0,412107408765977;0,629762625452224;0,710805460559233;0,188766420997858;0,396650105279962;0,339923415342475;0,738907097701997;0,820509790567699;0,0634566817993859;0,692694646602793;0,188766420997858;0,380598472679835;-0,124706401029761;0,285582476055541;0,593808957727553;0,555023358003165;0,730786772978789;0,841225738659106;-0,100872013596277
"X2";0,712905175619117;1;0,00143064777312855;0,372014115567298;0,28378589870203;0,593454266150301;0,816373524768288;0,190124200826333;0,474955663424924;0,0914282856082063;0,555269857547227;0,825052701593653;0,0478994310989619;0,808448518789545;0,190124200826333;0,469739638419163;-0,121971294312357;0,0174676916432661;0,580006506823022;0,686408608764246;0,826685766377363;0,978874529547997;-0,117812445623977
"X3";-0,143925802210672;0,00143064777312855;1;-0,0588225124839032;-0,114652557784669;-0,0646905153441105;-0,0771888278488271;0,0785577454754325;-0,0360616683846181;-0,0553582044181349;-0,117349466223794;-0,0526275688736688;-0,0814602721887303;-0,0717081833820255;0,0785577454754325;-0,022203165688132;0,149889606428325;-0,0600258428234101;-0,0619898704843236;0,100017368162569;-0,0523203177310062;-0,0408604394231423;0,222284776879669
"X4";0,485738444842442;0,372014115567298;-0,0588225124839032;1;0,238846738607563;0,472853610827114;0,228193264786025;0,143401393384181;0,198932108748427;0,266514930554822;0,606072885634678;0,485093169703585;0,14579954426032;0,233766647596406;0,143401393384181;0,186207179983376;0,130271471014113;0,326209577210422;0,321873564063089;0,440611733396838;0,325743407630169;0,428452932038662;0,0909565072407571
"X5";0,412107408765977;0,28378589870203;-0,114652557784669;0,238846738607563;1;0,409242625577644;0,38013344004986;0,152025974569061;0,224068407108137;0,22484092080906;0,414280633191586;0,35027479627834;0,344824964732159;0,361699228767227;0,152025974569061;0,212625014585969;-0,0975388171633174;0,218881683819494;0,472758078448569;0,0901379058168375;0,349179931924684;0,338959320206056;-0,0603929122812537
"X6";0,629762625452224;0,593454266150301;-0,0646905153441105;0,472853610827114;0,409242625577644;1;0,554868547006029;0,212751740534175;0,402945873514874;0,272027048046328;0,633278009718714;0,661796038679785;0,162447139843244;0,549091249296219;0,212751740534175;0,400329994736888;-0,0701797301351553;0,131669600581346;0,648261055021243;0,555943061313156;0,60938084451061;0,641179337296877;-0,123265329423226
"X7";0,710805460559233;0,816373524768288;-0,0771888278488271;0,228193264786025;0,38013344004986;0,554868547006029;1;0,175682076337203;0,410101233873052;0,0584692651583849;0,533807662515877;0,770493698646315;0,0636329836553749;0,992017296253976;0,175682076337203;0,406422849970548;-0,142373007574656;-0,042443897682375;0,639732493862966;0,563445956450703;0,782446805451472;0,836683106517138;-0,158656300212721
"X8";0,188766420997858;0,190124200826333;0,0785577454754325;0,143401393384181;0,152025974569061;0,212751740534175;0,175682076337203;1;0,0523733504690146;0,0750612165163636;0,209977416658548;0,211919224762718;0,0442837214339838;0,16411673407021;1;0,0725055799009171;0,0936091044997393;-0,0333000256410296;0,139794871322848;0,160970592591189;0,179250107621273;0,20162645944943;0,142417668216183
"X9";0,396650105279962;0,474955663424924;-0,0360616683846181;0,198932108748427;0,224068407108137;0,402945873514874;0,410101233873052;0,0523733504690146;1;0,0443673351332829;0,38415968127411;0,478160212908089;0,167024955998195;0,396965736072629;0,0523733504690146;0,992578024032176;-0,12672649621272;-0,0857843350950496;0,302758715987921;0,447255523951226;0,474507081365982;0,481847767592559;-0,177948838746492
"X10";0,339923415342475;0,0914282856082063;-0,0553582044181349;0,266514930554822;0,22484092080906;0,272027048046328;0,0584692651583849;0,0750612165163636;0,0443673351332829;1;0,356881265942591;0,225679644755269;0,0680771074657104;0,0514734024912531;0,0750612165163636;0,0351957945193137;0,0682341347799889;0,31644196699817;0,139555404552751;0,12918300420306;0,134243016942836;0,169602027892578;0,0929197452122154
