"delegacia_id";"delegacia";"RC1";"RC2";"RC3";"RC4"
1074;"034 DP - Vila Sonia";-0,17031578867732;0,437724120680823;3,29785974253222;-0,107629444117857
1075;"033 DP - Pirituba";0,141452277953788;-0,947100087321405;0,229305779488272;0,74882686040508
1076;"032 DP - Itaquera";-0,462817366395717;-0,376785897677801;-0,298228352118765;0,740780006459436
1077;"031 DP - Vila Carrão";-1,2355351198321;-0,670475633707718;-0,547338029163588;-0,81529667680567
1078;"030 DP - Tatuapé";-1,00924719169864;0,248044192126995;-0,595536074822001;2,14210908637308
1143;"003 DP - Campos Elísios";0,686037143021968;3,90970085033804;-1,14735800632715;-1,38236521251917
1145;"029 DP - Vila Diva";-1,28806693432647;-0,674893373125175;-0,715011149718132;0,18247614563498
1146;"028 DP - Freguesia do Ó";-0,166422955797943;-0,555937807039629;1,38665709963572;-0,117586693027226
1147;"027 DP - Campo Belo";-0,538418491832884;0,327910515237183;0,201696134361947;1,13952325699421
1148;"026 DP - Sacomã";-0,6747024658238;-0,651700402254903;-0,634488252008223;-0,912966268813812
1149;"025 DP - Parelheiros";1,68659152152396;0,202946672941643;-0,136348889225804;-1,35611419570599
1150;"024 DP - Ponte Rasa";0,44535511519954;0,0466419620145182;-0,640267640863946;1,53056548644989
1151;"023 DP - Perdizes";-0,192057020483528;1,8340741729661;-0,114264244005282;1,63204797618626
1152;"022 DP - São Miguel Paulista";-0,908191561637646;0,725309685196148;0,326430059386881;1,97003526104566
1153;"021 DP - Vila Matilde";-0,687813396375461;-0,271605247156163;-0,554800087219063;0,982980246943911
1154;"020 DP - Água Fria";0,12525462102871;-0,190153372183275;-0,253842416193666;1,25285075549996
1246;"002 DP - Bom Retiro";-0,704339265345853;0,737150564336764;-0,524764860576426;-1,38374655462518
1252;"019 DP - Vila Maria";-1,01552774767122;-0,507327642271256;-0,209772023004786;-0,0737646679441311
1253;"018 DP - Alto da Moóca";-1,76225803894953;0,345538248934222;0,865698283042191;-0,478084386391521
